Nome Anonimizado;ANO;Instituição de Ensino;CONSULTA;INSTITUICAO_ENSINO_ALUNO;RA;FASE;TURMA;Data de Nasc;IDADE_ALUNO;GÊNERO;PEDRA;INDE;ATINGIU_PV;STATUS_PEDRA;TESTE;Ano ingresso;Pedra 20;Pedra 21;Pedra 22;Pedra 23;INDE 22;INDE 23;Cg;Cf;Ct;Nº Av;Avaliador1;Rec Av1;Avaliador2;Rec Av2;Avaliador3;Rec Av3;Avaliador4;Rec Av4;IAA;IEG;IPS;IPP;Rec Psicologia;IDA;Mat;Por;Ing;Indicado;Atingiu PV;IPV;IAN;FASE IDEAL;DEFASAGEM;Destaque IEG;Destaque IDA;Destaque IPV;Destaque IPV
Aluno-893;2023;Escola Pública;Escola Pública;Escola Pública;RA-893;0;D;10/05/2014;9;Masculino;Topázio;8,8042;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;9,5;10;7,52;7,5;;9,3;9,5;9;;;;10,01;5;Fase 1 (3° e 4° ano);-1;;;;
Aluno-894;2023;Escola Pública;Escola Pública;Escola Pública;RA-894;0;D;4/14/2014;9;Feminino;Topázio;8,8142;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;9,5;9,9;7,52;7,5;;9,4;9,3;9,5;;;;10,01;5;Fase 1 (3° e 4° ano);-1;;;;
Aluno-690;2023;Escola Pública;Escola Pública;Escola Pública;RA-690;0;D;09/01/2013;10;Feminino;Topázio;8,6112;AVANÇO;AVANÇO;OK;2022;;;Ametista;;7,541;;;;;2;Avaliador-13;;Avaliador-3;;;;;;9;9,8;6,89;7,5;;9,1;9,3;8,8;;;;10,01;5;Fase 2 (5° e 6° ano);-2;;;;
Aluno-895;2023;Escola Pública;Escola Pública;Escola Pública;RA-895;0;D;5/27/2015;8;Feminino;Topázio;8,5397;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;9,5;9,5;7,52;6,875;;6,8;6,8;6,7;;;;9,5;10;ALFA (1° e 2° ano);0;;;;
Aluno-896;2023;Escola Pública;Escola Pública;Escola Pública;RA-896;0;D;12/24/2015;7;Masculino;Topázio;9,0912;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;9,5;10;6,89;7,5;;8,5;9;8;;;;10,01;10;ALFA (1° e 2° ano);0;;;;
Aluno-693;2023;Escola Pública;Escola Pública;Escola Pública;RA-693;0;D;04/03/2015;8;Feminino;Topázio;9,0112;AVANÇO;AVANÇO;OK;2022;;;Ametista;;7,944;;;;;2;Avaliador-13;;Avaliador-3;;;;;;10;9,4;6,89;7,5;;8,5;8,2;8,7;;;;10,01;10;ALFA (1° e 2° ano);0;;;;
Aluno-675;2023;Escola Pública;Escola Pública;Escola Pública;RA-675;0;D;11/09/2014;8;Masculino;Topázio;8,3577;AVANÇO;AVANÇO;OK;2022;;;Ametista;;7,576;;;;;2;Avaliador-13;;Avaliador-3;;;;;;10;8;7,52;6,875;;8,3;8,5;8;;;;8,34;10;ALFA (1° e 2° ano);0;;;;
Aluno-850;2023;Escola Pública;Escola Pública;Escola Pública;RA-850;0;D;1/22/2014;9;Masculino;Ágata;6,06525;QUEDA;QUEDA;OK;2022;;;Ametista;;7,641;;;;;2;Avaliador-13;;Avaliador-3;;;;;;0;7,9;6,26;6,5625;;7,3;6,8;7,7;;;;6,265;5;Fase 1 (3° e 4° ano);-1;;;;
Aluno-897;2023;Escola Pública;Escola Pública;Escola Pública;RA-897;0;D;08/02/2014;9;Masculino;Quartzo;5,48225;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;0;8,1;7,52;6,5625;;6,5;7,2;5,7;;;;3,32;5;Fase 1 (3° e 4° ano);-1;;;;
Aluno-842;2023;Escola Pública;Escola Pública;Escola Pública;RA-842;0;E;5/13/2014;9;Feminino;Ametista;7,2117;MANTIDO;MANTIDO;OK;2022;;;Ametista;;7,952;;;;;2;Avaliador-13;;Avaliador-3;;;;;;9;8,5;3,77;5,625;;7,9;8,2;7,5;;;;8,01;5;Fase 1 (3° e 4° ano);-1;;;;
Aluno-898;2023;Escola Pública;Escola Pública;Escola Pública;RA-898;0;E;06/03/2014;9;Masculino;Topázio;8,4217;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;9;9,8;3,77;8,125;;9,4;9,7;9;;;;10,01;5;Fase 1 (3° e 4° ano);-1;;;;
Aluno-899;2023;Escola Pública;Escola Pública;Escola Pública;RA-899;0;E;3/27/2015;8;Masculino;Topázio;8,8452;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;10;9,8;3,77;7,5;;9,5;9,3;9,6;;;;9,34;10;ALFA (1° e 2° ano);0;;;;
Aluno-900;2023;Escola Pública;Escola Pública;Escola Pública;RA-900;0;E;3/18/2015;8;Feminino;Topázio;8,8947;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;9;9,8;9,38;8,125;;7,8;8;7,5;;;;8,67;10;ALFA (1° e 2° ano);0;;;;
Aluno-846;2023;Escola Pública;Escola Pública;Escola Pública;RA-846;0;E;5/15/2015;8;Feminino;Ametista;7,4637;MANTIDO;MANTIDO;OK;2022;;;Ametista;;7,412;;;;;2;Avaliador-13;;Avaliador-3;;;;;;9,5;8,2;3,77;5,625;;6;6,3;5,7;;;;8,67;10;ALFA (1° e 2° ano);0;;;;
Aluno-901;2023;Escola Pública;Escola Pública;Escola Pública;RA-901;0;E;12/30/2012;10;Masculino;Ametista;7,3112;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;8,5;8,7;3,77;6,25;;7,5;7,7;7,3;;;;8,595;5;Fase 2 (5° e 6° ano);-2;;;;
Aluno-743;2023;Escola Pública;Escola Pública;Escola Pública;RA-743;0;E;8/31/2013;10;Feminino;Ágata;6,659;MANTIDO;MANTIDO;OK;2022;;;Ágata;;6,672;;;;;2;Avaliador-13;;Avaliador-3;;;;;;0;9,1;3,77;7,5;;7,1;7,3;6,8;;;;9,01;5;Fase 2 (5° e 6° ano);-2;;;;
Aluno-681;2023;Escola Pública;Escola Pública;Escola Pública;RA-681;0;E;12/14/2012;10;Masculino;Ágata;6,2955;QUEDA;QUEDA;OK;2022;;;Ametista;;7,204;;;;;2;Avaliador-13;;Avaliador-3;;;;;;0;7,8;3,77;5,625;;8,3;8,8;7,8;;;;8,18;5;Fase 2 (5° e 6° ano);-2;;;;
Aluno-902;2023;Escola Pública;Escola Pública;Escola Pública;RA-902;0;E;10/24/2011;12;Masculino;Quartzo;5,97345;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;10;9,3;2,52;5,3125;;3,9;4,5;3,3;;;;6,5;2,5;Fase 3 (7° e 8° ano);-3;;;;
Aluno-903;2023;Escola Pública;Escola Pública;Escola Pública;RA-903;0;E;04/04/2015;8;Feminino;Topázio;8,5242;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;10;9,6;5,02;7,5;;7,8;7,7;7,8;;;;9,01;10;ALFA (1° e 2° ano);0;;;;
Aluno-851;2023;Escola Pública;Escola Pública;Escola Pública;RA-851;0;E;03/03/2014;9;Masculino;Ágata;6,1683;QUEDA;QUEDA;OK;2022;;;Ametista;;7,515;;;;;2;Avaliador-13;;Avaliador-3;;;;;;8,4;7,5;2,52;5,625;;6,6;6,8;6,3;;;;6,01;5;Fase 1 (3° e 4° ano);-1;;;;
Aluno-847;2023;Escola Pública;Escola Pública;Escola Pública;RA-847;0;E;4/30/2013;10;Masculino;Ágata;6,5418;MANTIDO;MANTIDO;OK;2022;;;Ágata;;6,839;;;;;2;Avaliador-13;;Avaliador-3;;;;;;7,9;9,1;2,52;5;;7,6;7,5;7,6;;;;5,84;5;Fase 2 (5° e 6° ano);-2;;;;
Aluno-904;2023;Escola Pública;Escola Pública;Escola Pública;RA-904;0;F;02/12/2016;7;Feminino;Topázio;8,140783333;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-11;;Avaliador-2;;;;;;9;9,3;7,52;7,8125;;6,4;6;6,8;;;;7,836666667;10;ALFA (1° e 2° ano);0;;;;
Aluno-858;2023;Escola Pública;Escola Pública;Escola Pública;RA-858;0;F;02/09/2015;8;Masculino;Ametista;7,248833333;MANTIDO;MANTIDO;OK;2022;;;Ametista;;7,523;;;;;2;Avaliador-11;;Avaliador-2;;;;;;0;8,1;3,77;8,125;;9,3;9,3;9,2;;;;7,946666667;10;ALFA (1° e 2° ano);0;;;;
Aluno-905;2023;Escola Pública;Escola Pública;Escola Pública;RA-905;0;F;11/27/2013;9;Masculino;Ametista;7,831033333;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-11;;Avaliador-2;;;;;;9,5;9,4;7,52;6,875;;8,3;7,5;9;;;;7,056666667;5;Fase 1 (3° e 4° ano);-1;;;;
Aluno-702;2023;Escola Pública;Escola Pública;Escola Pública;RA-702;0;F;02/03/2014;9;Feminino;Topázio;8,239866667;AVANÇO;AVANÇO;OK;2022;;;Ametista;;7,387;;;;;2;Avaliador-11;;Avaliador-2;;;;;;10;10;5,63;7,5;;9,3;9,3;9,3;;;;7,833333333;5;Fase 1 (3° e 4° ano);-1;;;;
Aluno-725;2023;Escola Pública;Escola Pública;Escola Pública;RA-725;0;F;9/30/2014;9;Masculino;Topázio;8,117366667;AVANÇO;AVANÇO;OK;2022;;;Ágata;;6,33;;;;;2;Avaliador-11;;Avaliador-2;;;;;;9,5;9;7,52;8,125;;8,4;8,1;8,7;;;;8,113333333;5;Fase 1 (3° e 4° ano);-1;;;;
Aluno-906;2023;Escola Pública;Escola Pública;Escola Pública;RA-906;0;F;06/10/2015;8;Masculino;Topázio;8,1922;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-11;;Avaliador-2;;;;;;7,5;9,2;7,52;7,5;;8,6;7,7;9,4;;;;6,95;10;ALFA (1° e 2° ano);0;;;;
Aluno-907;2023;Privada;Escola Privada;Escola Privada;RA-907;0;F;10/23/2015;8;Feminino;Topázio;8,962033333;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-11;;Avaliador-2;;;;;;9,5;9,6;7,52;8,125;;9,3;9,2;9,4;;;;8,336666667;10;ALFA (1° e 2° ano);0;;;;
Aluno-908;2023;Escola Pública;Escola Pública;Escola Pública;RA-908;0;F;06/08/2015;8;Feminino;Topázio;8,479366667;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-11;;Avaliador-2;;;;;;9;9;7,52;8,125;;7,9;6,7;9;;;;8,223333333;10;ALFA (1° e 2° ano);0;;;;
Aluno-909;2023;Escola Pública;Escola Pública;Escola Pública;RA-909;0;F;10/22/2013;10;Feminino;Topázio;8,486033333;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-11;;Avaliador-2;;;;;;10;9,9;7,52;8,125;;9,2;9,1;9,2;;;;8,056666667;5;Fase 2 (5° e 6° ano);-2;;;;
Aluno-708;2023;Escola Pública;Escola Pública;Escola Pública;RA-708;0;F;11/30/2013;9;Masculino;Ametista;7,5105;MANTIDO;MANTIDO;OK;2022;;Topázio;Ametista;;7,282;;;;;2;Avaliador-11;;Avaliador-2;;;;;;0;9,8;7,52;8,125;;9,2;8,8;9,5;;;;8,28;5;Fase 1 (3° e 4° ano);-1;;;;
Aluno-910;2023;Escola Pública;Escola Pública;Escola Pública;RA-910;0;F;1/23/2015;8;Masculino;Ametista;7,801;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-11;;Avaliador-2;;;;;;0;8,8;7,52;8,75;;8,9;8,8;9;;;;8,17;10;ALFA (1° e 2° ano);0;;;;
Aluno-671;2023;Escola Pública;Escola Pública;Escola Pública;RA-671;0;G;04/04/2013;10;Masculino;Ágata;6,5143;QUEDA;QUEDA;OK;2021;;Ametista;Ametista;;7,617;;;;;2;Avaliador-13;;Avaliador-3;;;;;;7,9;8,3;3,14;5,625;;7,8;8;7,5;;;;5,68;5;Fase 2 (5° e 6° ano);-2;;;;
Aluno-836;2023;Escola Pública;Escola Pública;Escola Pública;RA-836;0;G;02/10/2013;10;Masculino;Ametista;7,6417;MANTIDO;MANTIDO;OK;2022;;;Ametista;;7,665;;;;;2;Avaliador-13;;Avaliador-3;;;;;;9,5;9,6;6,27;6,875;;6,7;6,7;6,7;;;;8,085;5;Fase 2 (5° e 6° ano);-2;;;;
Aluno-911;2023;Escola Pública;Escola Pública;Escola Pública;RA-911;0;G;5/19/2012;11;Masculino;Quartzo;5,59545;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;9;6,7;2,52;5,3125;;3,4;3,7;3;;;;7,01;5;Fase 2 (5° e 6° ano);-2;;;;
Aluno-860;2023;Escola Pública;Escola Pública;Escola Pública;RA-860;0;G;01/08/2015;8;Masculino;Topázio;8,2372;MANTIDO;MANTIDO;OK;2022;;;Topázio;;8,136;;;;;2;Avaliador-13;;Avaliador-3;;;;;;7;9,8;6,89;7,5;;7,4;7,2;7,5;;;;8,34;10;ALFA (1° e 2° ano);0;;;;
Aluno-727;2023;Escola Pública;Escola Pública;Escola Pública;RA-727;0;G;08/11/2014;9;Masculino;Ametista;7,6802;MANTIDO;MANTIDO;OK;2022;;;Ametista;;7,736;;;;;2;Avaliador-13;;Avaliador-3;;;;;;9,5;8,8;2,52;7,5;;8;8,3;7,7;;;;9,34;5;Fase 1 (3° e 4° ano);-1;;;;
Aluno-739;2023;Escola Pública;Escola Pública;Escola Pública;RA-739;0;G;1/31/2014;9;Masculino;Ametista;7,5972;QUEDA;QUEDA;OK;2022;;;Ágata;;6,82;;;;;2;Avaliador-13;;Avaliador-3;;;;;;9;8,3;7,52;6,25;;7,6;7,3;7,8;;;;8,25;5;Fase 1 (3° e 4° ano);-1;;;;
Aluno-740;2023;Privada;Escola Privada;Escola Privada;RA-740;0;G;8/18/2013;10;Feminino;Ametista;7,2845;MANTIDO;MANTIDO;OK;2022;;;Ametista;;7,218;;;;;2;Avaliador-13;;Avaliador-3;;;;;;0;8,7;7,52;6,875;;9,1;9;9,2;;;;8,925;5;Fase 2 (5° e 6° ano);-2;;;;
Aluno-912;2023;Escola Pública;Escola Pública;Escola Pública;RA-912;0;G;6/13/2014;9;Feminino;Ametista;7,0797;INGRESSANTE;INGRESSANTE;OK;2023;;;;;;;;;;2;Avaliador-13;;Avaliador-3;;;;;;7;9,4;7,52;5,625;;6,3;6,2;6,3;;;;7,175;5;Fase 1 (3° e 4° ano);-1;;;;
