NOME;ANO;INSTITUICAO_ENSINO_ALUNO;FASE;TURMA;IDADE_ALUNO;GÊNERO;PEDRA;INDE;IAA;IEG;IPS;IPP;IDA;IPV;IAN
Aluno-156;2022;Escola Pública;4;L;15;Menino;Ametista;7,357;10;8,3;9,4;8,12;4,4;7,792;5
Aluno-157;2022;Escola Privada;4;L;12;Menina;Topázio;8,317;7,5;10;6,3;7,34;7,7;8,292;10
Aluno-158;2022;Escola Privada;4;L;17;Menina;Ametista;7,302;7,9;9,8;5,6;5,94;6,6;8,125;2,5
Aluno-159;2022;Escola Pública;4;L;15;Menina;Ágata;6,49;8,3;8,1;5,6;7,5;4,7;6,458;5
Aluno-16;2022;Escola Pública;7;D;19;Menino;Ágata;6,112;7,9;8,3;5;6,88;3,5;6,333;5
Aluno-160;2022;Escola Pública;4;L;15;Menina;Ágata;6,746;7,5;7,2;5,6;6,25;5,3;8,25;5
Aluno-161;2022;Escola Privada;4;L;11;Menina;Ametista;7,957;7,9;9,1;5,6;8,12;6,9;8,083;10
Aluno-162;2022;Escola Pública;4;L;14;Menina;Ametista;7,215;6,7;8,5;7,5;5,42;5,5;6,542;10
Aluno-163;2022;Escola Pública;4;L;15;Menina;Ágata;6,797;8,8;7,9;5,6;7,34;6,7;6,5;5
Aluno-164;2022;Escola Pública;4;L;16;Menino;Ágata;6,776;8,3;7,3;5,6;6,67;6,5;7,208;5
Aluno-165;2022;Escola Privada;4;L;14;Menina;Topázio;8,063;7,1;9,8;5,6;6,46;7,6;7,5;10
Aluno-166;2022;Escola Pública;4;L;14;Menino;Topázio;8,253;9,2;9;6,3;7,97;8,1;7,542;10
Aluno-167;2022;Escola Privada;4;P;16;Menina;Ametista;7,798;9,2;9,7;5,6;7,34;7,9;7,833;5
Aluno-168;2022;Escola Privada;4;P;15;Menina;Ágata;6,917;7,9;8,3;6,3;7,34;5,9;7,083;5
Aluno-169;2022;Escola Pública;4;P;15;Menina;Quartzo;5,159;7,5;5,1;6,3;6,56;3,2;4,792;5
Aluno-17;2022;Escola Pública;7;D;20;Menino;Topázio;8,068;8,8;10;7,5;7,34;7,8;8,292;5
Aluno-170;2022;Escola Privada;4;P;14;Menina;Ágata;7,007;8,3;9,2;5,6;5,83;4,9;5,792;10
Aluno-171;2022;Escola Pública;4;P;16;Menino;Ágata;6,581;7,5;6,8;7,5;6,25;5,5;6,875;5
Aluno-172;2022;Escola Privada;4;P;14;Menina;Topázio;8,673;9,2;8,9;9,4;8,44;7,3;8,917;10
Aluno-173;2022;Escola Privada;4;P;17;Menino;Ametista;7,816;8,3;9,2;6,9;5,62;7,9;9,25;2,5
Aluno-174;2022;Escola Pública;4;P;15;Menina;Ágata;6,075;7,9;6,2;7,5;5,62;4,4;6,042;5
Aluno-175;2022;Escola Privada;4;P;15;Menina;Ágata;6,75;8,3;9,2;5,6;7,81;5,9;5,833;5
Aluno-176;2022;Escola Privada;3;A;13;Menina;Topázio;8,427;9,6;9,1;5,6;8,91;6,9;9,083;10
Aluno-177;2022;Escola Pública;3;A;13;Menina;Ametista;7,424;7,9;8,8;4,4;7,03;6,8;6,958;10
Aluno-178;2022;Escola Privada;3;A;13;Menina;Ágata;7,025;0;8,8;4,4;7,5;6,3;8,458;10
Aluno-179;2022;Escola Pública;3;A;12;Menino;Ametista;7,993;7,5;9,2;7,5;6,25;6,1;8,042;10
Aluno-18;2022;Escola Pública;7;D;19;Menino;Ametista;7,226;6,3;8,7;6,3;6,46;9;6,875;5
Aluno-180;2022;Escola Privada;3;A;12;Menino;Topázio;8,442;9,2;8,3;6,3;8,91;8,1;8,625;10
Aluno-181;2022;Escola Privada;3;A;13;Menina;Topázio;8,623;9,2;9,5;8,8;5,62;6,8;8,458;10
Aluno-182;2022;Escola Pública;3;A;16;Menina;Ágata;6,328;7,5;8;7,5;7,03;4,1;6,958;2,5
Aluno-183;2022;Escola Pública;3;A;13;Menina;Ametista;7,3;8,3;8,8;7,5;7,5;3,8;7,25;10
Aluno-184;2022;Escola Pública;3;A;16;Menino;Ametista;7,28;8,8;7,7;7,5;5,62;7,2;8;2,5
Aluno-185;2022;Escola Pública;3;A;15;Menino;Ágata;6,615;7,9;7,7;7,5;6,46;4,5;6,875;5
Aluno-186;2022;Escola Pública;3;A;13;Menina;Ametista;7,832;8,3;8,5;7,5;6,67;6,6;7,5;10
Aluno-187;2022;Escola Privada;3;A;12;Menina;Ametista;7,928;8,8;8,9;7,5;8,28;5,8;7,917;10
Aluno-188;2022;Escola Pública;3;A;14;Menino;Quartzo;5,307;0;6,1;7,5;5,62;2,7;7,583;5
Aluno-189;2022;Escola Privada;3;A;14;Menino;Ametista;7,629;10;9,7;5;5,94;7,2;7,333;5
Aluno-19;2022;Escola Pública;7;D;19;Menina;Ametista;7,665;7,9;9,5;7,5;6,25;8;7;5
Aluno-190;2022;Escola Pública;3;A;13;Menina;Ametista;7,335;6,7;6,9;8,8;6,25;6,3;7,25;10
Aluno-191;2022;Escola Privada;3;A;13;Menino;Topázio;8,74;10;9,4;8,8;8,59;7,2;8,5;10
Aluno-192;2022;Escola Pública;3;B;15;Menino;Quartzo;4,932;8,8;3,6;7,5;6,25;2,7;4,708;5
Aluno-193;2022;Escola Privada;3;B;12;Menino;Topázio;8,155;9,2;8,9;5,6;6,25;6,7;8,5;10
Aluno-194;2022;Escola Pública;3;B;14;Menina;Quartzo;4,265;0;6,2;5;6,41;3,2;3,75;5
Aluno-195;2022;Escola Privada;3;B;13;Menina;Ametista;8,017;8,8;9,2;5;8,75;6,3;8,25;10
Aluno-196;2022;Escola Privada;3;B;12;Menino;Topázio;8,124;9,2;9,1;7,5;5;5,1;8,625;10
Aluno-197;2022;Escola Privada;3;B;13;Menina;Topázio;8,218;8,8;9,7;4,4;6,88;7,3;8,292;10
Aluno-198;2022;Escola Pública;3;B;13;Menino;Quartzo;5,554;0;6,2;5;5,78;4,6;5,958;10
Aluno-199;2022;Escola Pública;3;B;13;Menino;Ametista;7,564;8,3;7,1;7,5;5;7,5;6,458;10
Aluno-2;2022;Escola Privada;7;A;17;Menina;Ametista;7,055;8,8;5,2;6,3;7,81;6,8;6,778;10
Aluno-20;2022;Escola Pública;7;D;19;Menina;Ametista;7,535;7,1;10;6,3;7,5;7,8;7,167;5
Aluno-200;2022;Escola Privada;3;B;15;Menino;Quartzo;5,705;7,9;5,6;4,4;7,81;5,5;4,917;5
Aluno-201;2022;Escola Pública;3;B;15;Menina;Ametista;7,078;7,9;7,3;7,5;7,66;6,5;7,542;5
Aluno-202;2022;Escola Pública;3;B;14;Menina;Quartzo;5,201;0;5,2;4,4;5,31;5,4;6,917;5
Aluno-203;2022;Escola Pública;3;B;14;Menina;Quartzo;5,669;8,8;4,3;7,5;6,25;2,8;6,875;5
Aluno-204;2022;Escola Pública;3;B;13;Menina;Ágata;6,943;7,9;6,7;4,4;7,66;7,4;5,708;10
Aluno-205;2022;Escola Pública;3;B;14;Menino;Quartzo;5,372;9,6;3,8;7,5;6,09;4,1;4,833;5
Aluno-206;2022;Escola Pública;3;B;12;Menina;Ametista;7,101;8,3;8,8;7,5;5,62;5;5,167;10
Aluno-207;2022;Escola Pública;3;C;16;Menino;Quartzo;4,936;0;4,8;7,5;6,72;5,8;5,708;2,5
Aluno-208;2022;Escola Pública;3;C;14;Menino;Ágata;6,667;7,5;7,1;7,5;7,5;6,1;6,417;5
Aluno-209;2022;Escola Pública;3;C;14;Menino;Quartzo;4,499;0;4,8;5,6;5,31;6;3,75;5
Aluno-21;2022;Escola Pública;7;D;18;Menino;Ágata;6,945;9,6;9,2;7,5;7,03;3,8;7,25;5
Aluno-210;2022;Escola Pública;3;C;14;Menino;Quartzo;4,44;0;5,1;7,5;5,94;3,4;4,417;5
Aluno-211;2022;Escola Pública;3;C;13;Menino;Topázio;8,465;9,2;8,8;7,5;7,08;7,6;8,458;10
Aluno-212;2022;Escola Pública;3;C;14;Menino;Ametista;7,268;9,6;8,4;7,5;7,5;6,2;6,958;5
Aluno-213;2022;Escola Pública;3;C;13;Menino;Ametista;7,209;9,6;8,7;7,5;5,62;3,5;6,833;10
Aluno-214;2022;Escola Pública;3;C;15;Menino;Quartzo;4,87;0;6,1;7,5;5,47;4,3;5,125;5
Aluno-215;2022;Escola Pública;3;D;13;Menina;Ametista;7,172;6,7;5,8;7,5;7,66;7,8;6,542;10
Aluno-216;2022;Escola Pública;3;D;13;Menina;Ametista;7,502;7,9;8,5;7,5;8,12;7;5,583;10
Aluno-217;2022;Escola Pública;3;D;15;Menina;Ametista;7,397;7,9;8,5;7,5;6,04;7,1;7,292;5
Aluno-218;2022;Escola Pública;3;D;14;Menina;Ágata;6,1;6,3;7,3;7,5;7,19;4;6,125;5
Aluno-219;2022;Escola Pública;3;D;16;Menino;Quartzo;5,942;8,8;6,9;7,5;7,34;3,5;6,375;2,5
Aluno-22;2022;Escola Privada;6;A;17;Menina;Ametista;7,474;8,3;7,4;8,1;7,5;6,7;8,833;5
Aluno-220;2022;Escola Pública;3;D;13;Menina;Ágata;7,028;0;8,1;7,5;5,62;6,5;7,833;10
Aluno-221;2022;Escola Pública;3;D;14;Menino;Ágata;6,892;9,6;8,5;7,5;5;5,2;6;5
Aluno-222;2022;Escola Pública;3;D;15;Menina;Quartzo;5,604;7,1;4,6;7,5;5;6,2;4,917;5
Aluno-223;2022;Escola Pública;3;E;13;Menina;Quartzo;4,966;0;4,6;7,5;5,62;3,1;5,583;10
Aluno-224;2022;Escola Pública;3;E;13;Menino;Quartzo;5,671;9,6;4,3;7,5;6,25;2,6;4,875;10
Aluno-225;2022;Escola Pública;3;E;14;Menino;Quartzo;5,918;8,3;5,3;7,5;6,25;5;5,708;5
Aluno-226;2022;Escola Pública;3;E;14;Menina;Ágata;6,549;7,5;6,1;7,5;7,34;6,8;6,208;5
Aluno-227;2022;Escola Pública;3;E;12;Menino;Ágata;6,471;9,2;6,4;7,5;6,88;3,3;5,833;10
Aluno-228;2022;Escola Pública;3;E;15;Menina;Ágata;6,196;7,5;6,7;7,5;6,25;4,8;6,417;5
Aluno-229;2022;Escola Pública;3;E;12;Menino;Topázio;8,62;10;9,4;7,5;6,04;6,9;8,5;10
Aluno-23;2022;Escola Pública;6;A;17;Menino;Ametista;7,677;8,3;8,2;8,1;6,88;6,7;8,556;5
Aluno-230;2022;Escola Pública;3;E;14;Menino;Ágata;6,328;7,9;5,1;7,5;4,38;5,7;6,75;5
Aluno-231;2022;Escola Pública;3;E;14;Menino;Ágata;6,116;8,8;7,4;7,5;7,03;3,8;5,333;5
Aluno-232;2022;Escola Pública;3;E;12;Menino;Quartzo;4,245;0;4,9;7,5;6,09;0;4,542;10
Aluno-233;2022;Escola Pública;3;E;14;Menino;Ágata;6,051;7,9;7,4;7,5;6,88;3,8;5,5;5
Aluno-234;2022;Escola Pública;3;E;13;Menino;Ágata;6,719;10;7,6;5,6;4,58;4,3;5,583;10
Aluno-235;2022;Escola Pública;3;E;14;Menina;Ágata;6,79;8,3;7,3;7,5;6,04;6,3;6,417;5
Aluno-236;2022;Escola Pública;3;F;12;Menina;Ametista;7,11;9,6;7,5;7,5;7,34;3,7;7,208;10
Aluno-237;2022;Escola Pública;3;F;14;Menina;Topázio;8,084;10;9;7,5;5,62;7,8;8,417;5
Aluno-238;2022;Escola Pública;3;F;14;Menina;Ágata;6,331;8,8;6,4;5;7,66;5,1;7,208;5
Aluno-239;2022;Escola Pública;3;F;15;Menina;Quartzo;4,572;0;3,7;7,5;6,41;3,7;5,958;5
Aluno-24;2022;Escola Privada;6;A;17;Menina;Topázio;8,087;9,2;7,9;6,9;8,59;8,6;9,111;5
Aluno-240;2022;Escola Privada;3;F;13;Menina;Ágata;6,943;7,1;8,1;5;6,25;4,7;7,042;10
Aluno-241;2022;Escola Privada;3;F;14;Menino;Topázio;8,468;10;10;7,5;8,59;7,7;9,125;5
Aluno-242;2022;Escola Privada;3;F;13;Menino;Topázio;8,673;9,6;9,7;5,6;7,97;8,2;8,708;10
Aluno-243;2022;Escola Pública;3;F;15;Menina;Ágata;6,982;7,1;8,7;5;7,66;6;7,875;5
Aluno-244;2022;Escola Privada;3;F;12;Menina;Topázio;8,51;7,5;9,4;6,3;8,59;7,8;9,208;10
Aluno-245;2022;Escola Privada;3;F;14;Menino;Topázio;8,656;10;9,9;7,5;8,91;8,4;9,25;5
Aluno-246;2022;Escola Pública;3;F;13;Menino;Topázio;8,639;8,3;9,4;7,5;7,81;7,6;9,167;10
Aluno-247;2022;Escola Pública;3;F;13;Menina;Ametista;7,72;8,3;8,2;7,5;6,04;5,8;7,875;10
Aluno-248;2022;Escola Pública;3;F;13;Menino;Ametista;7,429;9,2;7,6;7,5;8,28;5,2;7,292;10
Aluno-249;2022;Escola Pública;3;G;14;Menino;Quartzo;5,097;6,7;7,4;5;5,16;2,9;4,292;5
Aluno-25;2022;Escola Pública;6;A;17;Menina;Ametista;7,979;8,3;8,3;8,8;7,97;6,9;9,667;5
Aluno-250;2022;Escola Pública;3;G;12;Menina;Ametista;7,958;8,3;8,6;7,5;6,46;6,6;7,625;10
Aluno-251;2022;Escola Pública;3;G;15;Menino;Ágata;7,022;10;8,1;5,6;8,75;6,3;6,625;5
Aluno-252;2022;Escola Pública;3;G;14;Menino;Quartzo;4,277;9,2;2,8;7,5;0;0,9;3,875;5
Aluno-253;2022;Escola Pública;3;G;15;Menino;Quartzo;4,312;9,2;3,6;5;5,62;1,8;3,75;5
Aluno-254;2022;Escola Pública;3;G;14;Menino;Ágata;6,715;10;7,4;5,6;4,38;5,3;6,917;5
Aluno-255;2022;Escola Pública;3;G;14;Menino;Quartzo;4,563;7,5;3,8;5;4,17;1,3;5,542;5
Aluno-256;2022;Escola Pública;3;G;12;Menina;Ametista;7,192;8,8;8,5;5;6,04;5,2;6,708;10
Aluno-257;2022;Escola Pública;3;G;14;Menina;Quartzo;5,149;0;6,4;5,6;7,5;3,6;6,708;5
Aluno-258;2022;Escola Pública;3;G;12;Menina;Ágata;6,926;10;7,3;5,6;7,19;4,8;6,125;10
Aluno-259;2022;Escola Pública;3;G;16;Menino;Quartzo;4,182;8,8;2,9;7,5;6,09;0,9;4,625;2,5
Aluno-26;2022;Escola Pública;6;A;17;Menino;Topázio;8,677;9,6;8,8;10;8,75;8;10;5
Aluno-260;2022;Escola Pública;3;G;13;Menina;Ametista;7,44;10;8,2;7,5;5,94;5;6,458;10
Aluno-261;2022;Escola Pública;3;G;14;Menina;Ágata;6,763;8,8;7,2;5,6;8,12;5,8;7,042;5
Aluno-262;2022;Escola Pública;3;G;15;Menino;Quartzo;4,786;0;5,8;5,6;7,5;3,4;5,625;5
Aluno-263;2022;Escola Pública;3;G;15;Menina;Quartzo;5,319;5,8;5,6;7,5;7,34;3,7;4,417;5
Aluno-264;2022;Escola Pública;3;I;15;Menina;Ametista;7,087;10;9,2;5,6;7,19;5,8;6,625;5
Aluno-265;2022;Escola Pública;3;I;13;Menino;Ametista;7,926;8,3;7,7;7,5;5,94;6,9;7,917;10
Aluno-266;2022;Escola Pública;3;I;16;Menina;Quartzo;5,987;7,5;5,8;5,6;7,5;6;6,583;2,5
Aluno-267;2022;Escola Pública;3;I;15;Menina;Ágata;6,012;10;7,4;5;5,62;3,3;6,292;5
Aluno-268;2022;Escola Pública;3;K;14;Menina;Ágata;6,695;9,2;6,7;6,3;7,34;5,7;7,208;5
Aluno-269;2022;Escola Pública;3;K;13;Menino;Topázio;8,231;9,2;8,6;6,3;7,34;8,9;7,25;10
Aluno-27;2022;Escola Privada;6;A;17;Menino;Ametista;7,124;0;7,6;8,1;6,25;8;9,111;5
Aluno-270;2022;Escola Privada;3;K;13;Menina;Topázio;8,226;8,3;8,4;6,9;8,12;7,9;8,125;10
Aluno-271;2022;Escola Pública;3;K;15;Menina;Ametista;7,255;9,2;8,5;5,6;7,66;7,1;6,958;5
Aluno-272;2022;Escola Pública;3;K;14;Menino;Ágata;6,361;9,2;5,7;7,5;7,5;5,1;6,417;5
Aluno-273;2022;Escola Pública;3;K;14;Menina;Quartzo;5,679;9,2;5,3;7,5;5,62;3;5,833;5
Aluno-274;2022;Escola Privada;3;K;11;Menina;Ametista;7,946;7,9;8,3;7,5;8,12;8,1;7;10
Aluno-275;2022;Escola Pública;3;K;15;Menino;Ágata;6,665;9,6;6,9;7,5;8,28;4,6;6,667;5
Aluno-276;2022;Escola Pública;3;K;14;Menina;Quartzo;5,527;7,1;5,7;5,6;7,19;4,3;5,125;5
Aluno-277;2022;Escola Pública;3;K;14;Menino;Ametista;7,411;7,1;8,8;7,5;6,46;7,4;7,208;5
Aluno-278;2022;Escola Privada;3;K;12;Menino;Ametista;7,741;8,8;9,2;5,6;6,25;6;7,417;10
Aluno-279;2022;Escola Privada;3;K;13;Menino;Topázio;8,815;9,2;9,9;6,3;6,67;9,1;8,208;10
Aluno-28;2022;Escola Pública;6;A;17;Menina;Ágata;6,242;7,9;6,1;7,5;6,46;5;6,333;5
Aluno-280;2022;Escola Privada;3;K;13;Menina;Ametista;8,046;7,5;9,2;7,5;8,12;7,1;7,333;10
Aluno-281;2022;Escola Pública;3;K;13;Menina;Ágata;6,806;6,7;6,9;7,5;4,69;5,9;5,625;10
Aluno-282;2022;Escola Pública;3;K;13;Menina;Ágata;6,618;8,8;6,8;7,5;6,04;4;5,625;10
Aluno-283;2022;Escola Pública;3;K;14;Menino;Ametista;7,131;9,6;8,8;7,5;6,25;5,6;6,625;5
Aluno-284;2022;Escola Pública;3;L;13;Menino;Quartzo;5,939;6,7;5,1;5,6;7,19;3,8;5,958;10
Aluno-285;2022;Escola Pública;3;L;16;Menina;Quartzo;5,063;9,2;4,1;7,5;4,84;2,8;5,75;2,5
Aluno-286;2022;Escola Pública;3;L;15;Menina;Quartzo;5,424;7,1;5,8;6,3;7,03;3;5,625;5
Aluno-287;2022;Escola Pública;3;L;17;Menina;Quartzo;3,7;7,9;3,4;5;4,06;1,1;4,292;2,5
Aluno-288;2022;Escola Pública;3;L;16;Menina;Quartzo;4,097;0;5,6;6,3;7,34;0;6,833;2,5
Aluno-289;2022;Escola Pública;3;L;14;Menina;Ágata;6,236;0;7,8;6,3;7,5;6,8;7,25;5
Aluno-29;2022;Escola Pública;6;A;17;Menino;Quartzo;4,985;0;4;8,8;5,47;3,7;7,611;5
Aluno-290;2022;Escola Pública;3;L;17;Menina;Quartzo;4,929;10;3,9;6,3;6,09;1,7;6,042;2,5
Aluno-291;2022;Escola Pública;3;L;13;Menino;Topázio;8,122;8,3;8,2;6,9;5,83;8;7,792;10
Aluno-292;2022;Escola Pública;3;L;16;Menino;Quartzo;4,837;7,9;3,7;7,5;6,88;1,8;6,292;2,5
Aluno-293;2022;Escola Pública;3;L;13;Menino;Quartzo;4,875;8,8;2,9;7,5;5,31;2,3;3,333;10
Aluno-294;2022;Escola Pública;3;L;18;Menina;Quartzo;5,031;9,6;5,8;7,5;7,34;0;5,917;2,5
Aluno-295;2022;Escola Pública;3;M;14;Menina;Ametista;7,305;7,9;8;7,5;7,97;6,9;7,375;5
Aluno-296;2022;Escola Pública;3;M;15;Menina;Quartzo;4,665;8,8;3,6;7,5;4,84;2,8;3,833;5
Aluno-297;2022;Escola Pública;3;M;13;Menina;Ametista;7,478;7,1;7,9;6,3;6,04;6,6;7,417;10
Aluno-298;2022;Escola Pública;3;M;13;Menino;Ágata;6,409;9,2;6,3;5,6;6,25;5,2;5,417;10
Aluno-299;2022;Escola Privada;3;M;13;Menina;Ametista;7,278;7,1;8,2;5;7,34;6,8;6,708;10
Aluno-3;2022;Escola Privada;7;A;17;Menina;Ágata;6,591;0;7,9;5,6;8,12;5,6;7,556;10
Aluno-30;2022;Escola Pública;6;A;16;Menina;Ametista;7,605;8,8;6,4;7,5;7,19;7,5;7,333;10
Aluno-300;2022;Escola Pública;3;M;14;Menino;Quartzo;5,557;5,4;6,9;6,3;3,33;3,1;5,875;5
